"ACTRESS_ID","OLD_NAME","NEW_NAME","DISPLAY_NAME","RANK","FURIGANA","ROMAJI","CREATED_AT","UPDATED_AT"
1,"立花めい","京花萌",,0,,,2025/11/30 18:01:31,2025/11/30 18:01:31
2,"桜井千春","雫月心桜",,0,,,2025/11/30 18:01:31,2025/11/30 18:01:31
3,"宮村ななこ","みやむ","みやむ(宮村ななこ)",0,,,2025/11/30 18:01:31,2025/11/30 18:01:31
4,"初愛ねんね","ねんね","初愛ねんね(ねんね)",0,,,2025/11/30 18:01:31,2025/11/30 18:01:31
5,"莉々はるか","稲場るか",,1,,,2025/11/30 18:01:31,2025/11/30 20:29:48
6,"あべ藍","さとう愛理",,1,,,2025/11/30 18:01:31,2025/11/30 20:29:52
7,"井上まさみ","羽田希",,0,,,2025/11/30 18:01:31,2025/11/30 18:01:31
8,"初咲里奈","初芽里奈",,1,,,2025/11/30 18:01:31,2025/11/30 20:29:54
9,"満月ひかり","初芽里奈",,1,,,2025/11/30 18:01:31,2025/11/30 20:29:56
10,"天月叶菜","なごみ","天月叶菜(なごみ)",1,,,2025/11/30 18:01:31,2025/11/30 20:29:57
11,"幾野まち","幾田まち",,1,,,2025/11/30 18:01:31,2025/11/30 20:29:59
12,"柚木和奏","紺野まこ",,0,,,2025/11/30 18:01:31,2025/11/30 18:01:31
13,"ちなみん","桜ちなみ","ちなみん(桜ちなみ)",0,,,2025/11/30 18:01:31,2025/11/30 18:01:31
14,"橘知花","君色花音",,0,,,2025/11/30 18:01:31,2025/11/30 18:01:31
15,"紺野るり","朝日りん",,0,,,2025/11/30 18:01:31,2025/11/30 18:01:31
16,"愛乃はるか","保志美あすか",,1,,,2025/11/30 18:01:31,2025/11/30 20:30:03
17,"帆志科南","富井美帆",,0,,,2025/11/30 18:01:31,2025/11/30 18:01:31
18,"一ノ瀬恋","あゆな虹恋",,1,,,2025/11/30 18:01:31,2025/11/30 20:30:06
19,"蒼いおり","月見伊織",,0,,,2025/11/30 18:01:31,2025/11/30 18:01:31
20,"小日向みゆう","清原みゆう",,0,,,2025/11/30 18:01:31,2025/11/30 18:01:31
21,"わか菜ほの","若宮穂乃",,0,,,2025/11/30 18:01:31,2025/11/30 18:01:31
22,"藤田こずえ","藤田ゆず",,1,,,2025/11/30 18:01:31,2025/11/30 20:30:10
23,"本多なつめ","渚ひまわり",,0,,,2025/11/30 18:01:31,2025/11/30 18:01:31
